National Institute of Technology Nagpur,"Architecture (5 Years, Bachelor of Architecture)",OS,504,691
National Institute of Technology Nagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,25344,33172
National Institute of Technology Nagpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,26421,38456
National Institute of Technology Nagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,4920,7087
National Institute of Technology Nagpur,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,9363,16931
National Institute of Technology Nagpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,8554,12184
National Institute of Technology Nagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,18792,25462
National Institute of Technology Nagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,38275,43133
National Institute of Technology Nagpur,"Mining Engineering (4 Years, Bachelor of Technology)",OS,44192,48145
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",OS,949,1065
National Institute of Technology Patna,"Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,45504,45504
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",OS,30298,46518
National Institute of Technology Patna,"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,44169,46763
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,8125,13964
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,15278,16359
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,11823,14115
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,22074,26512
National Institute of Technology Patna,"Electrical Engineering with Specialization In Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,25439,29092
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,11260,21436
National Institute of Technology Patna,"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,16290,21954
National Institute of Technology Patna,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,43896,43896
National Institute of Technology Patna,"Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,14191,14191
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,25476,37533
National Institute of Technology Patna,"Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,37992,41945
National Institute of Technology Puducherry,"Civil Engineering (4 Years, Bachelor of Technology)",OS,47451,50701
National Institute of Technology Puducherry,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,12546,17305
National Institute of Technology Puducherry,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,24947,33327
National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,19643,23819
National Institute of Technology Puducherry,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,30866,40208
National Institute of Technology Raipur,"Architecture (5 Years, Bachelor of Architecture)",OS,758,932
National Institute of Technology Raipur,"Bio Medical Engineering (4 Years, Bachelor of Technology)",OS,48738,56271
